stretching 40.0
type_eddy 1.0
dy 500.0
H_eddy 300.0
V0_eddy 0.5
ngrid_y 400.0
Lx 200000.0
Lz 4000.0
dx 500.0
ngrid_z 100.0
R_eddy 10000.0
power_shape 20.0
refinement 4.0
Ly 200000.0
ngrid_x 400.0
i: 0000, t: 0 seconds, Δt: 1.100 seconds, umax = (5.2e-01, 5.2e-01, 9.2e-03) ms⁻¹, wall time: 0 seconds
i: 1000, t: 6.245 hours, Δt: 30 seconds, umax = (5.0e-01, 5.1e-01, 6.7e-03) ms⁻¹, wall time: 3.911 minutes
i: 2000, t: 14.578 hours, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 6.0e-03) ms⁻¹, wall time: 6.296 minutes
i: 3000, t: 22.911 hours, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 4.6e-03) ms⁻¹, wall time: 8.619 minutes
i: 4000, t: 1.302 days, Δt: 30 seconds, umax = (4.9e-01, 5.0e-01, 6.4e-03) ms⁻¹, wall time: 10.954 minutes
i: 5000, t: 1.649 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 8.4e-03) ms⁻¹, wall time: 13.249 minutes
i: 6000, t: 1.996 days, Δt: 30 seconds, umax = (4.9e-01, 4.8e-01, 1.4e-02) ms⁻¹, wall time: 15.545 minutes
i: 7000, t: 2.343 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 2.2e-02) ms⁻¹, wall time: 17.884 minutes
i: 8000, t: 2.691 days, Δt: 30 seconds, umax = (4.8e-01, 5.0e-01, 1.8e-02) ms⁻¹, wall time: 20.181 minutes
i: 9000, t: 3.038 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 2.0e-02) ms⁻¹, wall time: 22.500 minutes
i: 10000, t: 3.385 days, Δt: 30 seconds, umax = (5.0e-01, 4.8e-01, 1.8e-02) ms⁻¹, wall time: 24.775 minutes
i: 11000, t: 3.732 days, Δt: 30 seconds, umax = (5.0e-01, 4.8e-01, 1.5e-02) ms⁻¹, wall time: 27.058 minutes
i: 12000, t: 4.080 days, Δt: 30 seconds, umax = (5.1e-01, 4.9e-01, 9.5e-03) ms⁻¹, wall time: 29.608 minutes
i: 13000, t: 4.427 days, Δt: 30 seconds, umax = (5.0e-01, 5.1e-01, 7.8e-03) ms⁻¹, wall time: 31.895 minutes
i: 14000, t: 4.774 days, Δt: 30 seconds, umax = (4.6e-01, 5.2e-01, 1.2e-02) ms⁻¹, wall time: 34.183 minutes
i: 15000, t: 5.121 days, Δt: 30 seconds, umax = (4.3e-01, 5.1e-01, 8.0e-03) ms⁻¹, wall time: 36.513 minutes
i: 16000, t: 5.468 days, Δt: 30 seconds, umax = (4.4e-01, 4.7e-01, 6.4e-03) ms⁻¹, wall time: 38.803 minutes
i: 17000, t: 5.816 days, Δt: 30 seconds, umax = (4.8e-01, 4.2e-01, 8.6e-03) ms⁻¹, wall time: 41.092 minutes
i: 18000, t: 6.163 days, Δt: 30 seconds, umax = (5.2e-01, 3.8e-01, 7.4e-03) ms⁻¹, wall time: 43.422 minutes
i: 19000, t: 6.510 days, Δt: 30 seconds, umax = (5.6e-01, 3.5e-01, 7.6e-03) ms⁻¹, wall time: 45.709 minutes
i: 20000, t: 6.857 days, Δt: 30 seconds, umax = (5.6e-01, 3.5e-01, 8.8e-03) ms⁻¹, wall time: 47.994 minutes
i: 21000, t: 7.205 days, Δt: 30 seconds, umax = (5.6e-01, 4.1e-01, 6.4e-03) ms⁻¹, wall time: 50.323 minutes
i: 22000, t: 7.552 days, Δt: 30 seconds, umax = (5.7e-01, 4.6e-01, 6.0e-03) ms⁻¹, wall time: 52.616 minutes
i: 23000, t: 7.899 days, Δt: 30 seconds, umax = (5.8e-01, 5.1e-01, 6.4e-03) ms⁻¹, wall time: 54.899 minutes
i: 24000, t: 8.246 days, Δt: 30 seconds, umax = (5.9e-01, 5.5e-01, 7.6e-03) ms⁻¹, wall time: 57.214 minutes
